time in s,CH2 in V
-201.9999E-6,-725.8E-3
-201.4999E-6,-785.8E-3
-201.4999E-6,-725.8E-3
-200.9999E-6,-785.8E-3
-200.9999E-6,-745.8E-3
-200.4999E-6,-785.8E-3
-200.4999E-6,-725.8E-3
-199.9999E-6,-785.8E-3
-199.9999E-6,-745.8E-3
-199.4999E-6,-805.8E-3
-199.4999E-6,-745.8E-3
-198.9998E-6,-805.8E-3
-198.9998E-6,-745.8E-3
-198.4998E-6,-805.8E-3
-198.4998E-6,-765.8E-3
-197.9998E-6,-805.8E-3
-197.9998E-6,-765.8E-3
-197.4998E-6,-805.8E-3
-197.4998E-6,-765.8E-3
-196.9998E-6,-805.8E-3
-196.9998E-6,-765.8E-3
-196.4998E-6,-825.8E-3
-196.4998E-6,-765.8E-3
-195.9998E-6,-825.8E-3
-195.9998E-6,-785.8E-3
-195.4998E-6,-825.8E-3
-195.4998E-6,-765.8E-3
-194.9998E-6,-825.8E-3
-194.9998E-6,-785.8E-3
-194.4998E-6,-825.8E-3
-194.4998E-6,-785.8E-3
-193.9998E-6,-845.8E-3
-193.9998E-6,-785.8E-3
-193.4998E-6,-845.8E-3
-193.4998E-6,-785.8E-3
-192.9998E-6,-845.8E-3
-192.9998E-6,-805.8E-3
-192.4998E-6,-865.8E-3
-192.4998E-6,-805.8E-3
-191.9998E-6,-845.8E-3
-191.9998E-6,-805.8E-3
-191.4998E-6,-865.8E-3
-191.4998E-6,-825.8E-3
-190.9998E-6,-865.8E-3
-190.9998E-6,-825.8E-3
-190.4998E-6,-885.8E-3
-190.4998E-6,-825.8E-3
-189.9998E-6,-885.8E-3
-189.9998E-6,-825.8E-3
-189.4998E-6,-885.8E-3
-189.4998E-6,-825.8E-3
-188.9998E-6,-885.8E-3
-188.9998E-6,-825.8E-3
-188.4998E-6,-885.8E-3
-188.4998E-6,-845.8E-3
-187.9998E-6,-885.8E-3
-187.9998E-6,-845.8E-3
-187.4998E-6,-905.8E-3
-187.4998E-6,-845.8E-3
-187.0000E-6,-905.8E-3
-187.0000E-6,-845.8E-3
-186.5000E-6,-905.8E-3
-186.5000E-6,-845.8E-3
-186.0000E-6,-905.8E-3
-186.0000E-6,-865.8E-3
-185.5000E-6,-905.8E-3
-185.5000E-6,-865.8E-3
-185.0000E-6,-925.8E-3
-185.0000E-6,-865.8E-3
-184.5000E-6,-925.8E-3
-184.5000E-6,-865.8E-3
-184.0000E-6,-925.8E-3
-184.0000E-6,-865.8E-3
-183.5000E-6,-945.8E-3
-183.5000E-6,-885.8E-3
-183.0000E-6,-945.8E-3
-183.0000E-6,-885.8E-3
-182.5000E-6,-945.8E-3
-182.5000E-6,-885.8E-3
-182.0000E-6,-945.8E-3
-182.0000E-6,-905.8E-3
-181.5000E-6,-945.8E-3
-181.5000E-6,-885.8E-3
-181.0000E-6,-965.8E-3
-181.0000E-6,-905.8E-3
-180.5000E-6,-965.8E-3
-180.5000E-6,-905.8E-3
-180.0000E-6,-965.8E-3
-180.0000E-6,-905.8E-3
-179.4999E-6,-965.8E-3
-179.4999E-6,-925.8E-3
-178.9999E-6,-965.8E-3
-178.9999E-6,-925.8E-3
-178.4999E-6,-965.8E-3
-178.4999E-6,-925.8E-3
-177.9999E-6,-985.8E-3
-177.9999E-6,-925.8E-3
-177.4999E-6,-985.8E-3
-177.4999E-6,-925.8E-3
-176.9999E-6,-985.8E-3
-176.9999E-6,-945.8E-3
-176.4999E-6,-985.8E-3
-176.4999E-6,-945.8E-3
-175.9999E-6,-985.8E-3
-175.9999E-6,-945.8E-3
-175.4999E-6,-1.006
-175.4999E-6,-945.8E-3
-174.9999E-6,-1.006
-174.9999E-6,-945.8E-3
-174.4999E-6,-1.006
-174.4999E-6,-945.8E-3
-173.9999E-6,-1.006
-173.9999E-6,-945.8E-3
-173.4999E-6,-1.006
-173.4999E-6,-945.8E-3
-172.9999E-6,-1.006
-172.9999E-6,-945.8E-3
-172.4999E-6,-1.006
-172.4999E-6,-945.8E-3
-171.9999E-6,-1.006
-171.9999E-6,-965.8E-3
-171.4999E-6,-1.026
-171.4999E-6,-965.8E-3
-170.9999E-6,-1.026
-170.9999E-6,-965.8E-3
-170.4999E-6,-1.026
