time in s,CH1 in V
-99.00000E-6,454.1E-3
-99.00000E-6,494.1E-3
-98.80000E-6,454.1E-3
-98.80000E-6,494.1E-3
-98.60000E-6,454.1E-3
-98.60000E-6,494.1E-3
-98.40000E-6,454.1E-3
-98.40000E-6,494.1E-3
-98.20000E-6,454.1E-3
-98.20000E-6,494.1E-3
-98.00000E-6,454.1E-3
-98.00000E-6,514.1E-3
-97.80000E-6,454.1E-3
-97.80000E-6,494.1E-3
-97.59998E-6,454.1E-3
-97.59998E-6,494.1E-3
-97.39998E-6,454.1E-3
-97.39998E-6,494.1E-3
-97.19998E-6,454.1E-3
-97.19998E-6,494.1E-3
-96.99998E-6,474.1E-3
-96.99998E-6,494.1E-3
-96.79998E-6,454.1E-3
-96.79998E-6,514.1E-3
-96.59998E-6,454.1E-3
-96.59998E-6,494.1E-3
-96.39998E-6,474.1E-3
-96.39998E-6,494.1E-3
-96.19998E-6,454.1E-3
-96.19998E-6,514.1E-3
-95.99998E-6,454.1E-3
-95.99998E-6,494.1E-3
-95.79998E-6,454.1E-3
-95.79998E-6,494.1E-3
-95.59998E-6,454.1E-3
-95.59998E-6,494.1E-3
-95.39998E-6,454.1E-3
-95.39998E-6,494.1E-3
-95.19998E-6,454.1E-3
-95.19998E-6,494.1E-3
-94.99996E-6,454.1E-3
-94.99996E-6,494.1E-3
-94.79996E-6,454.1E-3
-94.79996E-6,514.1E-3
-94.59996E-6,454.1E-3
-94.59996E-6,494.1E-3
-94.39996E-6,454.1E-3
-94.39996E-6,514.1E-3
-94.19996E-6,454.1E-3
-94.19996E-6,494.1E-3
-93.99996E-6,454.1E-3
-93.99996E-6,494.1E-3
-93.79996E-6,454.1E-3
-93.79996E-6,494.1E-3
-93.59996E-6,454.1E-3
-93.59996E-6,494.1E-3
-93.39996E-6,454.1E-3
-93.39996E-6,494.1E-3
-93.19996E-6,454.1E-3
-93.19996E-6,494.1E-3
-92.99996E-6,454.1E-3
-92.99996E-6,494.1E-3
-92.79996E-6,454.1E-3
-92.79996E-6,514.1E-3
-92.59996E-6,474.1E-3
-92.59996E-6,494.1E-3
-92.39994E-6,454.1E-3
-92.39994E-6,494.1E-3
-92.19994E-6,454.1E-3
-92.19994E-6,514.1E-3
-91.99994E-6,454.1E-3
-91.99994E-6,494.1E-3
-91.79994E-6,454.1E-3
-91.79994E-6,514.1E-3
-91.59994E-6,454.1E-3
-91.59994E-6,494.1E-3
-91.39994E-6,454.1E-3
-91.39994E-6,494.1E-3
-91.19994E-6,454.1E-3
-91.19994E-6,494.1E-3
-90.99994E-6,-565.9E-3
-90.99994E-6,514.1E-3
