time in s,CH2 in V
-99.00000E-6,34.15E-3
-99.00000E-6,94.15E-3
-98.80000E-6,34.15E-3
-98.80000E-6,94.15E-3
-98.60000E-6,34.15E-3
-98.60000E-6,94.15E-3
-98.40000E-6,54.15E-3
-98.40000E-6,94.15E-3
-98.20000E-6,54.15E-3
-98.20000E-6,94.15E-3
-98.00000E-6,74.15E-3
-98.00000E-6,114.2E-3
-97.80000E-6,74.15E-3
-97.80000E-6,114.2E-3
-97.59998E-6,74.15E-3
-97.59998E-6,114.2E-3
-97.39998E-6,74.15E-3
-97.39998E-6,134.2E-3
-97.19998E-6,94.15E-3
-97.19998E-6,134.2E-3
-96.99998E-6,94.15E-3
-96.99998E-6,134.2E-3
-96.79998E-6,94.15E-3
-96.79998E-6,154.2E-3
-96.59998E-6,114.2E-3
-96.59998E-6,154.2E-3
-96.39998E-6,114.2E-3
-96.39998E-6,154.2E-3
-96.19998E-6,114.2E-3
-96.19998E-6,174.2E-3
-95.99998E-6,134.2E-3
-95.99998E-6,174.2E-3
-95.79998E-6,134.2E-3
-95.79998E-6,174.2E-3
-95.59998E-6,134.2E-3
-95.59998E-6,174.2E-3
-95.39998E-6,154.2E-3
-95.39998E-6,194.2E-3
-95.19998E-6,154.2E-3
-95.19998E-6,194.2E-3
-94.99996E-6,154.2E-3
-94.99996E-6,194.2E-3
-94.79996E-6,174.2E-3
-94.79996E-6,214.2E-3
-94.59996E-6,174.2E-3
-94.59996E-6,214.2E-3
-94.39996E-6,174.2E-3
-94.39996E-6,234.2E-3
-94.19996E-6,194.2E-3
-94.19996E-6,234.2E-3
-93.99996E-6,194.2E-3
-93.99996E-6,254.2E-3
-93.79996E-6,214.2E-3
-93.79996E-6,254.2E-3
-93.59996E-6,214.2E-3
-93.59996E-6,254.2E-3
-93.39996E-6,214.2E-3
-93.39996E-6,254.2E-3
-93.19996E-6,214.2E-3
-93.19996E-6,274.2E-3
-92.99996E-6,234.2E-3
-92.99996E-6,274.2E-3
-92.79996E-6,234.2E-3
-92.79996E-6,294.2E-3
-92.59996E-6,234.2E-3
-92.59996E-6,294.2E-3
-92.39994E-6,254.2E-3
-92.39994E-6,314.2E-3
-92.19994E-6,254.2E-3
-92.19994E-6,314.2E-3
-91.99994E-6,274.2E-3
-91.99994E-6,314.2E-3
-91.79994E-6,274.2E-3
-91.79994E-6,334.2E-3
-91.59994E-6,294.2E-3
-91.59994E-6,334.2E-3
-91.39994E-6,294.2E-3
-91.39994E-6,354.2E-3
-91.19994E-6,314.2E-3
-91.19994E-6,354.2E-3
-90.99994E-6,-2.546
-90.99994E-6,354.2E-3
-90.79994E-6,-1.366
-90.79994E-6,-2.546
-90.59994E-6,-1.126
-90.59994E-6,-1.446
-90.39994E-6,-1.346
-90.39994E-6,-1.526
-90.19994E-6,-1.326
-90.19994E-6,-1.406
-89.99994E-6,-1.386
-89.99994E-6,-1.346
-89.79994E-6,-1.386
-89.79994E-6,-1.326
-89.59992E-6,-1.366
-89.59992E-6,-1.306
-89.39992E-6,-1.346
-89.39992E-6,-1.306
-89.19992E-6,-1.326
-89.19992E-6,-1.266
-88.99992E-6,-1.306
-88.99992E-6,-1.266
-88.79992E-6,-1.306
-88.79992E-6,-1.246
-88.59992E-6,-1.286
-88.59992E-6,-1.226
-88.39992E-6,-1.266
-88.39992E-6,-1.206
-88.19992E-6,-1.246
-88.19992E-6,-1.206
-87.99992E-6,-1.246
-87.99992E-6,-1.186
-87.79992E-6,-1.206
-87.79992E-6,-1.166
-87.59992E-6,-1.206
-87.59992E-6,-1.146
-87.39992E-6,-1.186
-87.39992E-6,-1.146
-87.19992E-6,-1.166
-87.19992E-6,-1.126
