time in s,CH1 in V
-250.0000E-6,-525.9E-3
-250.0000E-6,-465.9E-3
-249.5000E-6,-525.9E-3
-249.5000E-6,-465.9E-3
-249.0000E-6,-525.9E-3
-249.0000E-6,-465.9E-3
-248.5000E-6,-525.9E-3
-248.5000E-6,-465.9E-3
-248.0000E-6,-525.9E-3
-248.0000E-6,-465.9E-3
-247.5000E-6,-525.9E-3
-247.5000E-6,-465.9E-3
-247.0000E-6,-525.9E-3
-247.0000E-6,-465.9E-3
-246.5000E-6,-525.9E-3
-246.5000E-6,-465.9E-3
-246.0000E-6,-505.9E-3
-246.0000E-6,-465.9E-3
-245.5000E-6,-525.9E-3
-245.5000E-6,-465.9E-3
-245.0000E-6,-525.9E-3
-245.0000E-6,-465.9E-3
-244.5000E-6,-505.9E-3
-244.5000E-6,-465.9E-3
-243.9999E-6,-505.9E-3
-243.9999E-6,-465.9E-3
-243.4999E-6,-525.9E-3
-243.4999E-6,-465.9E-3
-242.9999E-6,-525.9E-3
-242.9999E-6,-465.9E-3
-242.4999E-6,-525.9E-3
-242.4999E-6,-465.9E-3
-241.9999E-6,-525.9E-3
-241.9999E-6,-465.9E-3
-241.4999E-6,-525.9E-3
-241.4999E-6,-465.9E-3
-240.9999E-6,-525.9E-3
-240.9999E-6,-465.9E-3
-240.4999E-6,-525.9E-3
-240.4999E-6,-465.9E-3
-239.9999E-6,-525.9E-3
-239.9999E-6,-465.9E-3
-239.4999E-6,-525.9E-3
-239.4999E-6,-465.9E-3
-238.9999E-6,-525.9E-3
-238.9999E-6,-465.9E-3
-238.4999E-6,-525.9E-3
-238.4999E-6,-465.9E-3
-237.9999E-6,-525.9E-3
-237.9999E-6,-465.9E-3
-237.4999E-6,-525.9E-3
-237.4999E-6,-465.9E-3
-236.9999E-6,-525.9E-3
-236.9999E-6,-465.9E-3
-236.4999E-6,-525.9E-3
-236.4999E-6,-465.9E-3
-235.9999E-6,-525.9E-3
-235.9999E-6,-465.9E-3
-235.4999E-6,-525.9E-3
-235.4999E-6,-465.9E-3
-234.9999E-6,-525.9E-3
-234.9999E-6,-465.9E-3
-234.4999E-6,-525.9E-3
-234.4999E-6,-465.9E-3
-233.9999E-6,-525.9E-3
-233.9999E-6,-465.9E-3
-233.4999E-6,-525.9E-3
-233.4999E-6,-465.9E-3
-232.9999E-6,-525.9E-3
-232.9999E-6,-465.9E-3
-232.4999E-6,-525.9E-3
-232.4999E-6,-465.9E-3
-231.9999E-6,-525.9E-3
-231.9999E-6,-465.9E-3
-231.4999E-6,-525.9E-3
-231.4999E-6,-465.9E-3
-230.9999E-6,-525.9E-3
-230.9999E-6,-465.9E-3
-230.4998E-6,-525.9E-3
-230.4998E-6,-465.9E-3
-229.9998E-6,-525.9E-3
-229.9998E-6,-465.9E-3
-229.4998E-6,-525.9E-3
-229.4998E-6,-485.9E-3
-228.9998E-6,-525.9E-3
-228.9998E-6,-465.9E-3
-228.4998E-6,-525.9E-3
-228.4998E-6,-465.9E-3
-227.9998E-6,-525.9E-3
-227.9998E-6,-465.9E-3
-227.4998E-6,-525.9E-3
-227.4998E-6,-465.9E-3
-226.9998E-6,-525.9E-3
-226.9998E-6,-465.9E-3
-226.4998E-6,-525.9E-3
-226.4998E-6,-465.9E-3
-225.9998E-6,-525.9E-3
-225.9998E-6,-465.9E-3
-225.4998E-6,-525.9E-3
-225.4998E-6,-465.9E-3
-224.9998E-6,-525.9E-3
-224.9998E-6,-465.9E-3
-224.4998E-6,-525.9E-3
-224.4998E-6,-465.9E-3
-223.9998E-6,-525.9E-3
-223.9998E-6,-465.9E-3
-223.4998E-6,-525.9E-3
-223.4998E-6,-465.9E-3
-222.9998E-6,-525.9E-3
-222.9998E-6,-465.9E-3
-222.4998E-6,-525.9E-3
-222.4998E-6,-465.9E-3
-221.9998E-6,-525.9E-3
-221.9998E-6,-465.9E-3
-221.4998E-6,-505.9E-3
-221.4998E-6,-465.9E-3
-220.9998E-6,-525.9E-3
-220.9998E-6,-465.9E-3
-220.4998E-6,-525.9E-3
-220.4998E-6,-465.9E-3
-219.9998E-6,-525.9E-3
-219.9998E-6,-465.9E-3
-219.4998E-6,-525.9E-3
-219.4998E-6,-485.9E-3
-219.0000E-6,-525.9E-3
-219.0000E-6,-465.9E-3
-218.5000E-6,-525.9E-3
-218.5000E-6,-465.9E-3
-218.0000E-6,-525.9E-3
-218.0000E-6,-465.9E-3
-217.5000E-6,-525.9E-3
-217.5000E-6,-485.9E-3
-217.0000E-6,-525.9E-3
-217.0000E-6,-465.9E-3
-216.5000E-6,-525.9E-3
-216.5000E-6,-465.9E-3
-216.0000E-6,-525.9E-3
-216.0000E-6,-465.9E-3
-215.5000E-6,-525.9E-3
-215.5000E-6,-465.9E-3
-215.0000E-6,-525.9E-3
-215.0000E-6,-465.9E-3
-214.5000E-6,-525.9E-3
-214.5000E-6,-465.9E-3
-214.0000E-6,-525.9E-3
-214.0000E-6,-485.9E-3
-213.5000E-6,-525.9E-3
-213.5000E-6,-465.9E-3
-212.9999E-6,-525.9E-3
-212.9999E-6,-465.9E-3
-212.4999E-6,-525.9E-3
-212.4999E-6,-465.9E-3
-211.9999E-6,-525.9E-3
-211.9999E-6,-465.9E-3
-211.4999E-6,-525.9E-3
-211.4999E-6,-485.9E-3
-210.9999E-6,-525.9E-3
-210.9999E-6,-465.9E-3
-210.4999E-6,-525.9E-3
-210.4999E-6,-465.9E-3
-209.9999E-6,-525.9E-3
-209.9999E-6,-485.9E-3
-209.4999E-6,-505.9E-3
-209.4999E-6,-465.9E-3
-208.9999E-6,-525.9E-3
-208.9999E-6,-465.9E-3
-208.4999E-6,-525.9E-3
-208.4999E-6,-465.9E-3
-207.9999E-6,-525.9E-3
-207.9999E-6,-465.9E-3
-207.4999E-6,-525.9E-3
-207.4999E-6,-465.9E-3
-206.9999E-6,-525.9E-3
-206.9999E-6,-465.9E-3
-206.4999E-6,-525.9E-3
-206.4999E-6,-465.9E-3
-205.9999E-6,-525.9E-3
-205.9999E-6,-465.9E-3
-205.4999E-6,-525.9E-3
-205.4999E-6,-465.9E-3
-204.9999E-6,-525.9E-3
-204.9999E-6,-465.9E-3
-204.4999E-6,-525.9E-3
-204.4999E-6,-465.9E-3
-203.9999E-6,-505.9E-3
-203.9999E-6,-465.9E-3
-203.4999E-6,-525.9E-3
-203.4999E-6,-465.9E-3
-202.9999E-6,-525.9E-3
-202.9999E-6,-465.9E-3
-202.4999E-6,-505.9E-3
-202.4999E-6,-465.9E-3
-201.9999E-6,-525.9E-3
-201.9999E-6,-465.9E-3
-201.4999E-6,-525.9E-3
-201.4999E-6,-465.9E-3
