#Ua in V, f in kHz, φ in °

1.79 1 -1.8
1.79 2 -4
1.79 3 -6.2
1.79 4 -8.8
1.79 5 -12.2
1.79 6 -17
1.66 7 -24
1.51 8 -35.7
1.33 8.5 -44.5
1.04 9. -56.7
0.615 9.5 -72
0.346 9.75 -80
0.212 9.875 -82
.0704 10 -82.7
.0136 10.065 6.9
.113 10.165 79.1
.313 10.365 75.8
.745 10.865 62.2
.888 11.065 57.8
1.31 12.065 40.4
1.49 13.065 30.8
1.59 14.065 24.9
1.65 15 21.2
1.73 20 12
1.78 50 3.2
