time in s,CH2 in V
-250.0000E-6,-505.8E-3
-250.0000E-6,-445.8E-3
-249.5000E-6,-505.8E-3
-249.5000E-6,-465.8E-3
-249.0000E-6,-525.8E-3
-249.0000E-6,-465.8E-3
-248.5000E-6,-525.8E-3
-248.5000E-6,-485.8E-3
-248.0000E-6,-545.8E-3
-248.0000E-6,-485.8E-3
-247.5000E-6,-565.8E-3
-247.5000E-6,-505.8E-3
-247.0000E-6,-565.8E-3
-247.0000E-6,-505.8E-3
-246.5000E-6,-565.8E-3
-246.5000E-6,-525.8E-3
-246.0000E-6,-585.8E-3
-246.0000E-6,-545.8E-3
-245.5000E-6,-605.8E-3
-245.5000E-6,-545.8E-3
-245.0000E-6,-625.8E-3
-245.0000E-6,-545.8E-3
-244.5000E-6,-625.8E-3
-244.5000E-6,-585.8E-3
-243.9999E-6,-645.8E-3
-243.9999E-6,-585.8E-3
-243.4999E-6,-665.8E-3
-243.4999E-6,-605.8E-3
-242.9999E-6,-665.8E-3
-242.9999E-6,-625.8E-3
-242.4999E-6,-685.8E-3
-242.4999E-6,-625.8E-3
-241.9999E-6,-685.8E-3
-241.9999E-6,-645.8E-3
-241.4999E-6,-705.8E-3
-241.4999E-6,-665.8E-3
-240.9999E-6,-725.8E-3
-240.9999E-6,-665.8E-3
-240.4999E-6,-745.8E-3
-240.4999E-6,-685.8E-3
-239.9999E-6,-745.8E-3
-239.9999E-6,-705.8E-3
-239.4999E-6,-765.8E-3
-239.4999E-6,-705.8E-3
-238.9999E-6,-785.8E-3
-238.9999E-6,-725.8E-3
-238.4999E-6,-785.8E-3
-238.4999E-6,-725.8E-3
-237.9999E-6,-785.8E-3
-237.9999E-6,-745.8E-3
-237.4999E-6,-825.8E-3
-237.4999E-6,-765.8E-3
-236.9999E-6,-825.8E-3
-236.9999E-6,-765.8E-3
-236.4999E-6,-845.8E-3
-236.4999E-6,-785.8E-3
-235.9999E-6,-845.8E-3
-235.9999E-6,-805.8E-3
-235.4999E-6,-885.8E-3
-235.4999E-6,-825.8E-3
-234.9999E-6,-885.8E-3
-234.9999E-6,-825.8E-3
-234.4999E-6,-885.8E-3
-234.4999E-6,-825.8E-3
-233.9999E-6,-905.8E-3
-233.9999E-6,-845.8E-3
-233.4999E-6,-925.8E-3
