time in s,CH2 in V
-1.000000E-6,-126.8E-3
-998.0000E-9,-126.8E-3
-996.0000E-9,113.2E-3
-994.0000E-9,673.2E-3
-992.0000E-9,1.393
-990.0000E-9,2.033
-988.0000E-9,2.593
-986.0000E-9,2.993
-984.0000E-9,3.313
-982.0002E-9,3.473
-980.0002E-9,3.553
-978.0002E-9,3.633
-976.0002E-9,3.713
-974.0002E-9,3.793
-972.0002E-9,3.713
-970.0002E-9,3.793
-968.0002E-9,3.713
-966.0002E-9,3.713
-964.0002E-9,3.713
-962.0004E-9,3.713
-960.0004E-9,3.713
-958.0004E-9,3.793
-956.0004E-9,3.713
-954.0004E-9,3.713
-952.0004E-9,3.713
-950.0004E-9,3.713
-948.0004E-9,3.713
-946.0004E-9,3.793
-944.0006E-9,3.713
-942.0006E-9,3.713
-940.0006E-9,3.713
-938.0006E-9,3.713
-936.0006E-9,3.713
-934.0006E-9,3.713
-932.0006E-9,3.633
-930.0006E-9,3.793
-928.0006E-9,3.633
-926.0008E-9,3.633
-924.0008E-9,3.633
-922.0008E-9,3.793
-920.0008E-9,3.713
-918.0008E-9,3.633
-916.0008E-9,3.713
-914.0008E-9,3.713
-912.0008E-9,3.713
-910.0008E-9,3.713
-908.0008E-9,3.713
-906.0010E-9,3.633
-904.0010E-9,3.713
-902.0010E-9,3.713
-900.0010E-9,3.713
-898.0010E-9,3.713
-896.0010E-9,3.713
-894.0010E-9,3.713
-892.0010E-9,3.633
-890.0010E-9,3.713
-888.0012E-9,3.713
-886.0012E-9,3.713
-884.0012E-9,3.793
-882.0012E-9,3.633
-880.0012E-9,3.713
-878.0012E-9,3.713
-876.0012E-9,3.713
-874.0012E-9,3.713
-872.0012E-9,3.713
-870.0012E-9,3.633
-868.0014E-9,3.713
-866.0014E-9,3.713
-864.0014E-9,3.713
-862.0014E-9,3.793
-860.0014E-9,3.713
-858.0014E-9,3.713
-856.0014E-9,3.793
-854.0014E-9,3.713
-852.0014E-9,3.633
-850.0016E-9,3.713
-848.0016E-9,3.713
-846.0016E-9,3.633
-844.0016E-9,3.713
-842.0016E-9,3.713
-840.0016E-9,3.713
-838.0016E-9,3.633
-836.0016E-9,3.793
-834.0016E-9,3.713
-832.0017E-9,3.793
-830.0017E-9,3.713
-828.0017E-9,3.793
-826.0017E-9,3.713
-824.0018E-9,3.793
-822.0018E-9,3.713
-820.0018E-9,3.713
-818.0018E-9,3.713
-816.0018E-9,3.713
-814.0019E-9,3.713
-812.0019E-9,3.793
-810.0019E-9,3.713
-808.0019E-9,3.713
-806.0019E-9,3.713
-804.0020E-9,3.713
-802.0020E-9,3.713
-800.0020E-9,3.713
-798.0020E-9,3.713
-796.0021E-9,3.713
-794.0021E-9,3.713
-792.0021E-9,3.713
-790.0021E-9,3.713
-788.0021E-9,3.713
-786.0022E-9,3.713
-784.0022E-9,3.793
-782.0022E-9,3.713
-780.0022E-9,3.713
-778.0022E-9,3.713
-776.0023E-9,3.713
-774.0023E-9,3.793
-772.0023E-9,3.713
-770.0023E-9,3.793
-768.0023E-9,3.633
-766.0024E-9,3.793
-764.0024E-9,3.713
-762.0024E-9,3.713
-760.0024E-9,3.793
-758.0025E-9,3.713
-756.0025E-9,3.793
-754.0025E-9,3.713
-752.0025E-9,3.713
-750.0025E-9,3.713
-748.0026E-9,3.713
-746.0026E-9,3.713
-744.0026E-9,3.793
-742.0026E-9,3.713
-740.0026E-9,3.793
-738.0027E-9,3.713
-736.0027E-9,3.713
-734.0027E-9,3.713
-732.0027E-9,3.713
-730.0028E-9,3.713
-728.0028E-9,3.713
-726.0028E-9,3.793
-724.0028E-9,3.713
-722.0028E-9,3.713
-720.0029E-9,3.713
-718.0029E-9,3.793
-716.0029E-9,3.793
-714.0029E-9,3.713
-712.0029E-9,3.793
-710.0030E-9,3.713
-708.0030E-9,3.713
-706.0030E-9,3.793
-704.0000E-9,3.713
-702.0000E-9,3.793
-700.0000E-9,3.713
-698.0000E-9,3.713
-696.0000E-9,3.793
-694.0001E-9,3.713
-692.0001E-9,3.713
-690.0001E-9,3.793
-688.0001E-9,3.713
-686.0001E-9,3.713
-684.0002E-9,3.793
-682.0002E-9,3.793
-680.0002E-9,3.793
-678.0002E-9,3.713
-676.0003E-9,3.713
-674.0003E-9,3.713
-672.0003E-9,3.793
-670.0003E-9,3.713
-668.0003E-9,3.713
-666.0004E-9,3.713
-664.0004E-9,3.713
-662.0004E-9,3.713
-660.0004E-9,3.713
-658.0004E-9,3.793
-656.0005E-9,3.713
-654.0005E-9,3.713
-652.0005E-9,3.793
-650.0005E-9,3.793
-648.0006E-9,3.713
-646.0006E-9,3.793
-644.0006E-9,3.793
-642.0006E-9,3.793
-640.0006E-9,3.713
-638.0007E-9,3.793
-636.0007E-9,3.793
-634.0007E-9,3.793
-632.0007E-9,3.793
-630.0007E-9,3.793
-628.0008E-9,3.713
-626.0008E-9,3.793
-624.0008E-9,3.793
-622.0008E-9,3.713
-620.0008E-9,3.793
-618.0009E-9,3.713
-616.0009E-9,3.793
-614.0009E-9,3.793
-612.0009E-9,3.793
-610.0010E-9,3.793
-608.0010E-9,3.793
-606.0010E-9,3.793
-604.0010E-9,3.793
-602.0010E-9,3.793
-600.0011E-9,3.793
-598.0011E-9,3.713
-596.0011E-9,3.793
-594.0011E-9,3.793
-592.0011E-9,3.793
-590.0012E-9,3.793
-588.0012E-9,3.713
-586.0012E-9,3.793
-584.0012E-9,3.793
-582.0012E-9,3.793
-580.0013E-9,3.793
-578.0013E-9,3.793
-576.0013E-9,3.793
-574.0013E-9,3.793
-572.0014E-9,3.793
-570.0014E-9,3.793
-568.0014E-9,3.793
-566.0014E-9,3.713
