time in s,CH2 in V
-391.9997E-6,-4.283
-391.9997E-6,-3.683
-390.9997E-6,-4.283
-390.9997E-6,-3.683
-389.9997E-6,-4.283
-389.9997E-6,-3.683
-388.9997E-6,-4.283
-388.9997E-6,-3.683
-387.9996E-6,-4.083
-387.9996E-6,-3.483
-386.9996E-6,-4.083
-386.9996E-6,-3.483
-385.9996E-6,-4.083
-385.9996E-6,-3.283
-384.9996E-6,-3.883
-384.9996E-6,-3.283
-383.9996E-6,-3.883
-383.9996E-6,-3.283
-382.9996E-6,-3.883
-382.9996E-6,-3.283
-381.9996E-6,-3.683
-381.9996E-6,-3.083
-380.9996E-6,-3.683
-380.9996E-6,-3.083
-379.9996E-6,-3.483
-379.9996E-6,-3.083
-378.9996E-6,-3.683
-378.9996E-6,-2.883
-377.9996E-6,-3.483
-377.9996E-6,-2.883
-376.9996E-6,-3.483
-376.9996E-6,-2.883
-375.9996E-6,-3.283
-375.9996E-6,-2.883
-374.9996E-6,-3.283
-374.9996E-6,-2.683
-373.9995E-6,-3.283
-373.9995E-6,-2.683
-372.9995E-6,-3.083
-372.9995E-6,-2.683
-371.9995E-6,-3.083
-371.9995E-6,-2.483
-370.9995E-6,-3.083
-370.9995E-6,-2.483
-369.9995E-6,-3.083
-369.9995E-6,-2.483
-368.9995E-6,-2.883
-368.9995E-6,-2.283
-367.9995E-6,-2.883
-367.9995E-6,-2.283
-366.9995E-6,-2.883
-366.9995E-6,-2.283
-365.9995E-6,-2.683
-365.9995E-6,-2.283
-364.9995E-6,-2.683
-364.9995E-6,-2.083
-363.9995E-6,-2.683
-363.9995E-6,-2.083
-362.9995E-6,-2.683
-362.9995E-6,-2.083
-362.0000E-6,-2.483
-362.0000E-6,-2.083
-361.0000E-6,-2.483
-361.0000E-6,-2.083
-360.0000E-6,-2.483
-360.0000E-6,-1.883
-359.0000E-6,-2.483
-359.0000E-6,-1.883
-357.9999E-6,-2.283
-357.9999E-6,-1.883
-356.9999E-6,-2.283
-356.9999E-6,-1.683
-355.9999E-6,-2.283
-355.9999E-6,-1.683
-354.9999E-6,-2.283
-354.9999E-6,-1.483
-353.9999E-6,-2.083
-353.9999E-6,-1.683
-352.9999E-6,-2.083
-352.9999E-6,-1.683
-351.9999E-6,-2.083
-351.9999E-6,-1.483
-350.9999E-6,-1.883
-350.9999E-6,-1.483
-349.9999E-6,-1.883
-349.9999E-6,-1.483
-348.9999E-6,-1.883
-348.9999E-6,-1.283
-347.9999E-6,-1.883
-347.9999E-6,-1.283
-346.9999E-6,-1.683
-346.9999E-6,-1.083
-345.9999E-6,-1.683
-345.9999E-6,-1.083
-344.9998E-6,-1.683
-344.9998E-6,-1.083
